epoch,train_loss,eval_loss,eval_top1,eval_top5
0,2.228821873664856,1.8433625,35.29,87.23
1,1.9435335993766785,1.501425,46.07,92.78
2,1.731209635734558,1.447384375,49.03,92.86
3,1.878039002418518,1.2752734375,56.22,95.64
4,1.7132693529129028,1.2051421875,60.93,96.32
5,1.6481319665908813,1.2077,62.04,96.57
6,1.645034372806549,1.04327109375,67.06,96.88
7,1.5630844235420227,0.99048125,68.59,97.0
8,1.4590399265289307,1.0407328125,67.88,96.75
9,1.475865364074707,0.9094578125,73.25,97.92
10,1.5047057271003723,0.8581484375,74.44,98.24
11,1.5185421705245972,0.77178515625,77.88,98.29
12,1.8146801590919495,0.78690234375,77.83,98.67
13,1.3462977409362793,0.8166984375,77.4,98.6
14,1.2501514554023743,0.8378703125,75.6,98.54
15,1.5841388702392578,0.73836953125,80.39,98.83
16,1.1892846822738647,0.8017015625,77.81,98.65
17,1.3216098546981812,0.710153125,81.14,98.93
18,1.7066142559051514,0.78901875,79.59,98.68
19,1.4428392052650452,0.73655546875,80.41,98.45
20,1.4005224704742432,0.6589890625,81.84,99.05
21,1.5098686218261719,0.698553125,83.19,98.78
22,1.1609233617782593,0.70148125,83.17,98.91
23,1.3951610326766968,0.63017578125,83.87,99.21
24,1.4227799773216248,0.6178875,84.04,99.34
25,1.3393662571907043,0.69121640625,84.02,99.14
26,1.232965350151062,0.625151171875,85.34,99.49
27,1.3628350496292114,0.5965828125,85.09,99.32
28,1.3711374998092651,0.5645109375,85.31,99.24
29,1.103991150856018,0.61916953125,86.14,99.2
30,1.2967448830604553,0.60178359375,86.03,99.25
31,1.1227658987045288,0.60750078125,85.44,99.15
32,1.072268307209015,0.56829140625,85.62,99.28
33,1.3387843370437622,0.5514625,86.61,99.34
34,1.2085424661636353,0.620834375,86.79,99.32
35,1.1197702586650848,0.58718125,86.65,99.5
36,1.3555344939231873,0.58354609375,87.0,99.39
37,1.1266895532608032,0.57038671875,86.87,99.36
38,1.4026243686676025,0.561880859375,87.81,99.52
39,1.3983296751976013,0.490163671875,87.19,99.36
40,1.3952808380126953,0.51486015625,87.78,99.53
41,1.1908019185066223,0.555292578125,87.51,99.29
42,1.22202467918396,0.47394609375,88.48,99.4
43,1.0104944109916687,0.53683203125,88.54,99.52
44,1.2978370785713196,0.540646875,88.3,99.46
45,1.2435215711593628,0.57585625,88.14,99.53
46,1.270068109035492,0.513453125,88.61,99.42
47,1.058392345905304,0.48229140625,88.42,99.48
48,1.0355281233787537,0.50528828125,88.69,99.41
49,1.293648362159729,0.515166796875,87.94,99.36
50,1.2461733222007751,0.53554609375,88.13,99.39
51,1.1697980165481567,0.505958984375,89.21,99.47
52,1.2461908459663391,0.5230953125,89.21,99.49
53,1.1879332065582275,0.4991,88.63,99.51
54,1.0915938913822174,0.545825,89.27,99.26
55,0.9615702033042908,0.49309765625,89.28,99.48
56,1.154759705066681,0.4562375,90.43,99.57
57,1.1618133187294006,0.48968671875,90.03,99.5
58,1.2565023303031921,0.479078125,89.91,99.52
59,0.9673323333263397,0.4782828125,88.83,99.27
60,0.9506091177463531,0.48096328125,89.34,99.48
61,1.2525768876075745,0.45971640625,89.93,99.49
62,1.364315152168274,0.57097265625,89.3,99.38
63,1.0784292221069336,0.469053515625,90.52,99.61
64,0.906072348356247,0.467540625,89.71,99.61
65,1.36855149269104,0.51463984375,89.87,99.45
66,1.2233582735061646,0.511487890625,89.8,99.54
67,1.1760035753250122,0.533954296875,90.3,99.5
68,1.1730713248252869,0.5092171875,89.24,99.39
69,1.3785239458084106,0.4661796875,89.98,99.56
70,1.4625375270843506,0.466123828125,90.46,99.62
71,0.8049001097679138,0.46558984375,90.83,99.54
72,1.1706227362155914,0.48388125,90.26,99.53
73,1.1681054830551147,0.49534765625,90.09,99.6
74,1.1445698142051697,0.4646140625,90.42,99.62
75,0.9998976588249207,0.443804296875,90.27,99.64
76,1.237833857536316,0.4892328125,89.44,99.54
77,1.0552698373794556,0.472413671875,90.47,99.57
78,1.1381686627864838,0.4764140625,90.58,99.58
79,1.130573809146881,0.4681484375,90.37,99.63
80,1.1464377641677856,0.457511328125,90.9,99.62
81,1.316371202468872,0.4728078125,90.29,99.59
82,1.180050551891327,0.46746796875,90.21,99.63
83,1.6131411790847778,0.5154390625,89.71,99.58
84,1.2484703063964844,0.428324609375,90.8,99.62
85,1.2036239504814148,0.48443046875,91.05,99.57
86,1.010149508714676,0.44401171875,90.89,99.48
87,1.4470072388648987,0.496139453125,90.82,99.55
88,1.2502979040145874,0.51296875,90.31,99.56
89,0.9405384361743927,0.4814015625,90.76,99.42
90,1.168326735496521,0.4312,90.94,99.64
91,1.5006521940231323,0.46058125,91.09,99.65
92,1.323980689048767,0.444687890625,91.42,99.53
93,0.9442315399646759,0.476071875,90.81,99.63
94,1.3128352165222168,0.4706453125,91.27,99.55
95,1.3968170881271362,0.49674140625,90.58,99.48
96,0.9964863657951355,0.4787,90.94,99.64
97,1.1367212533950806,0.4281328125,91.45,99.51
98,1.34567129611969,0.45382578125,91.37,99.68
99,0.9031645655632019,0.409791015625,91.37,99.69
100,1.1593793630599976,0.46207890625,91.3,99.61
101,1.2159876823425293,0.441151171875,91.29,99.67
102,1.075674057006836,0.427730859375,91.79,99.61
103,0.9599410891532898,0.4101515625,91.98,99.68
104,1.5050634145736694,0.393492578125,91.75,99.59
105,1.1873169243335724,0.4433734375,91.59,99.53
106,1.6465632915496826,0.3778171875,91.4,99.68
107,1.3308361768722534,0.4536328125,91.32,99.57
108,0.889579176902771,0.4374875,92.0,99.73
109,1.3208357095718384,0.42875625,91.69,99.62
110,1.0980234742164612,0.4067349609375,92.13,99.64
111,1.2499196529388428,0.44863125,91.31,99.58
112,1.1611635088920593,0.440065625,91.87,99.67
113,1.1634716987609863,0.47128046875,92.06,99.7
114,0.9824711680412292,0.3869076171875,92.0,99.61
115,1.1371123790740967,0.45878671875,91.42,99.7
116,0.9845324158668518,0.42924765625,92.02,99.65
117,0.8316408693790436,0.387958984375,92.25,99.73
118,1.0888944864273071,0.43827734375,91.66,99.59
119,0.9767946898937225,0.44105859375,92.28,99.65
120,0.979796826839447,0.397941015625,92.23,99.63
121,1.204368233680725,0.4270265625,92.41,99.66
122,1.1073108911514282,0.480315625,92.15,99.62
123,1.3435405492782593,0.50492578125,92.33,99.62
124,1.0771824717521667,0.40533515625,92.18,99.64
125,1.4117006659507751,0.42358125,92.15,99.57
126,1.4179661870002747,0.4368390625,91.98,99.7
127,1.52976393699646,0.41338515625,92.21,99.58
128,1.3703739047050476,0.414143359375,92.07,99.64
129,1.0929535627365112,0.4647625,91.9,99.65
130,1.2532029747962952,0.44545546875,92.33,99.7
131,1.2907869815826416,0.438023828125,92.5,99.66
132,0.9416635632514954,0.403832421875,92.37,99.77
133,1.009290486574173,0.445575,92.45,99.71
134,1.444448471069336,0.4611890625,92.23,99.62
135,0.8443585336208344,0.430003515625,92.36,99.65
136,1.0706660747528076,0.40896171875,92.62,99.68
